synthetic_record_id,internal_project_id,record_mode,enrichment_source,synthetic_as_of_date,scenario_type,demo_case_id,mixed_signals,overlap_group_id,anomaly_notes,synthetic_disclaimer,real_state,real_constituency,real_category,real_work_description,real_allocation_amount,real_recommended_date,real_status,real_lifecycle_stage,real_ida,real_city,real_block,real_village,real_mp_name,real_house,implementing_district,implementing_agency,vendor_name,sanction_date,planned_start_date,planned_completion_date,actual_start_date,actual_completion_date,sanctioned_amount,expenditure_amount,latitude,longitude,coordinate_source,project_area,physical_progress_percent,milestone_number,milestone_amount,milestone_total_amount
synthetic:enr:26102:000011,internal:005ad8f2dc28939d879c81fe165d60f1849402ec6f9915e5b09fa3da91185372,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Punjab,HOSHIARPUR(SC),Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,300000,2023-07-12,Unsanctioned,FUTURE,DEPUTY COMMISSIONER HOSHIARPUR_IDA,Sham ChaurasI,,,Shri Som Prakash,Lok Sabha,HOSHIARPUR [SYNTHETIC],SYNTHETIC implementing unit attached to DEPUTY COMMISSIONER HOSHIARPUR_IDA,SYNTHETIC HOSHIARPUR General Works Agency,,,,,,,,31.302138,75.199009,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Sham ChaurasI, Punjab",0,,,
synthetic:enr:26102:000012,internal:005adba1212ab9f5b9f04e5273a5bd16b77c936be7f79c3470eed52421c39a66,HYBRID,SYNTHETIC,2024-06-30,COST_ANOMALY,,,,SYNTHETIC COST_ANOMALY/OVERBILL signal for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Rajasthan,PALI,Normal/Others,WS/MP389/2023-2024/12991 - Purchase of furniture and fixtures for educational purposes,700000,2023-08-25,Ongoing,ONGOING,DISTRICT COLLECTOR PALI_IDA,,SOJAT,Boyal,Shri PP Chaudhary,Lok Sabha,PALI [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR PALI_IDA,SYNTHETIC PALI General Works Contractor,2023-10-04,2023-10-22,2024-08-02,2023-10-27,,700000,963843,26.856874,74.171211,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Boyal, Rajasthan",28,4,219325,877300
synthetic:enr:26102:000013,internal:006129520766829b3c49e80e1c687e382a58ca187a36c35df11612b5dbd2e991,HYBRID,SYNTHETIC,2024-06-30,MIXED,,"COST_ANOMALY,TIME_ANOMALY",,"SYNTHETIC TIME_ANOMALY/STUCK signal for prototype testing; not a legal finding. | SYNTHETIC COST_ANOMALY/OVERBILL signal for prototype testing; not a legal finding. | SYNTHETIC MIXED signals: COST_ANOMALY,TIME_ANOMALY","SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Tamil Nadu,CUDDALORE,Normal/Others,WS/MP754/2023-2024/66604 - Lighting of public spaces,450000,2023-12-20,Completed,COMPLETED,DISTRICT COLLECTOR CUDDALORE_IDA,Virudhachalam,,,TRVS Ramesh,Lok Sabha,CUDDALORE [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR CUDDALORE_IDA,SYNTHETIC CUDDALORE Lighting Works Constructions,2024-01-26,2024-02-04,2024-04-22,2024-02-04,2024-08-22,450000,655988,10.811845,78.868247,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Lighting site near Virudhachalam, Tamil Nadu",100,4,160772,643091
synthetic:enr:26102:000014,internal:006f5d2abb5436e93363a709b085fed708125a455748e405d4a667102c3fbbfb,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Uttarakhand,GARHWAL,Normal/Others,NA - Construction of rooms and halls in school and colleges,500000,2023-11-22,Unsanctioned,FUTURE,DISTRICT MAGISTRATE PAURI GARHWAL_IDA,Kotdwara,,,Tirath Singh Rawat,Lok Sabha,PAURI GARHWAL [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRATE PAURI GARHWAL_IDA,SYNTHETIC PAURI GARHWAL Building Works Constructions,,,,,,,,29.891734,78.748519,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Building site near Kotdwara, Uttarakhand",0,,,
synthetic:enr:26102:000015,internal:0074235560abe85ae12a706c520dc00d40a356d1db5248e80154e9e6ce62bfd5,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Andhra Pradesh,SRIKAKULAM,Normal/Others,"WS/MP522/2023-2024/44037 - Construction of roads, approach roads, link roads and pathways",250000,2023-11-03,Unsanctioned,FUTURE,District Collector Srikakulam_IDA,,VAJRAPUKOTTURU,Peddamuraharipuram,Kinjarapu Ram Mohan Naidu,Lok Sabha,Srikakulam [SYNTHETIC],SYNTHETIC implementing unit attached to District Collector Srikakulam_IDA,SYNTHETIC Srikakulam Roadworks Constructions,,,,,,,,18.32221,83.90925,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Road site near Peddamuraharipuram, Andhra Pradesh",0,,,
synthetic:enr:26102:000016,internal:0088f3ce30fa7e862dceb7110d53fad46f6bd521888057ccb08201c6ab013109,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Madhya Pradesh,DAMOH,Normal/Others,WS/MP646/2023-2024/25981 - Construction of buildings for community cultural activities,300000,2023-09-25,Sanctioned,FUTURE,DISTRICT COLLECTOR SAGAR_IDA,,REHLI,Ratanpar,Prahlad Singh Patel,Lok Sabha,SAGAR [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR SAGAR_IDA,SYNTHETIC SAGAR Building Works Contractor,2023-10-18,2024-06-23,2025-02-18,,,300000,0,23.101901,78.67287,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Building site near Ratanpar, Madhya Pradesh",0,,,
synthetic:enr:26102:000017,internal:008bc55de4641f8e863d1007f4c30cdd96d49d881b9e929cd6eae6fca75d2dcb,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Telangana,KARIMNAGAR,Normal/Others,NA - Construction of community centers and community halls,200000,2024-02-25,Unsanctioned,FUTURE,DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA,,Thangallapalli,Thangallapalle,Sanjay Kumar Bandi,Lok Sabha,RAJANNA SIRCILLA [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA,SYNTHETIC RAJANNA SIRCILLA Community Works Constructions,,,,,,,,18.279052,79.145529,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Community Hall site near Thangallapalle, Telangana",0,,,
synthetic:enr:26102:000018,internal:008d46a1dd132d2cb6435ec45d4d6d216e69f3fab91cac6b5c2dd3f7ae310577,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Madhya Pradesh,JABALPUR,Normal/Others,NA - Construction of buildings for community cultural activities,400000,2023-10-05,Unsanctioned,FUTURE,DISTRICT COLLECTOR JABALPUR_IDA,Jabalpur,,,Rakesh Singh,Lok Sabha,JABALPUR [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR JABALPUR_IDA,SYNTHETIC JABALPUR Building Works Constructions,,,,,,,,23.278273,78.557242,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Building site near Jabalpur, Madhya Pradesh",0,,,
synthetic:enr:26102:000019,internal:00947f6d2ca1f7f7a2df070f3cfdee7f99cb0cc32d5cf1fb6ba17c6395b40e3e,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Tamil Nadu,TIRUNELVELI,Normal/Others,NA - Construction of bus-sheds or bus-stops,650000,2024-01-07,Unsanctioned,FUTURE,DISTRICT COLLECTOR TIRUNELVELI_IDA,,Palayamkottai,Sivandipatti,S Gnanathiraviam,Lok Sabha,TIRUNELVELI [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR TIRUNELVELI_IDA,SYNTHETIC TIRUNELVELI General Works Contractor,,,,,,,,11.133756,78.971721,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Sivandipatti, Tamil Nadu",0,,,
synthetic:enr:26102:000020,internal:00999b283f655bf35d3e73ce7a25b8ceef20d1f988fbe601e525f919f4785c50,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Rajasthan,GANGANAGAR(SC),Normal/Others,NA - Construction of rooms and halls in school and colleges,1000000,2023-08-17,Unsanctioned,FUTURE,DISTRICT COLLECTOR SRIGANGANAGAR_IDA,,GANGANAGAR,4 f,Nihal Chand Chauhan,Lok Sabha,SRIGANGANAGAR [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR SRIGANGANAGAR_IDA,SYNTHETIC SRIGANGANAGAR Building Works Agency,,,,,,,,26.881248,74.47529,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Building site near 4 f, Rajasthan",0,,,
synthetic:enr:26102:000021,internal:00a20b722cbd03b7a6aa19e3d72286b3aa988a5d891c425eb6503826740206d4,HYBRID,SYNTHETIC,2024-06-30,EVIDENCE_GHOST,,,,SYNTHETIC EVIDENCE/GHOST: completed claim with no coordinates.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Tamil Nadu,DINDIGUL,Normal/Others,"WS/MP749/2023-2024/32573 - Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",83500,2023-10-06,Completed,COMPLETED,DISTRICT COLLECTOR DINDIGUL_IDA,,DINDIGUL,Pallapatti,P Velusamy,Lok Sabha,DINDIGUL [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR DINDIGUL_IDA,SYNTHETIC DINDIGUL General Works Agency,2023-10-26,2023-11-13,2024-01-25,2023-11-16,2024-02-04,83500,82754,,,SYNTHETIC missing GPS for GHOST prototype case; not official,"SYNTHETIC Other site near Pallapatti, Tamil Nadu",100,2,41377,82754
synthetic:enr:26102:000022,internal:00a4d93b39f072f1aa3f451049800fc52c7cb6d1f004c21a93854c48e7cf4e63,HYBRID,SYNTHETIC,2024-06-30,OVERLAP,,,synthetic:overlap:26102:0069,SYNTHETIC OVERLAP group: nearby coordinates and shared vendor for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Karnataka,DAVANAGERE,Normal/Others,NA - Construction of rooms and halls in school and colleges,1000000,2023-12-14,Unsanctioned,FUTURE,DEPUTY COMMISSIONER DAUANAGERE_IDA,,CHANNAGIRI,Hodigere,Gowdar Mallikarjunappa Siddeshwara,Lok Sabha,DAUANAGERE [SYNTHETIC],SYNTHETIC implementing unit attached to DEPUTY COMMISSIONER DAUANAGERE_IDA,SYNTHETIC DAUANAGERE Building Works Contractor,,,,,,,,15.052884,75.930821,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Building site near Hodigere, Karnataka",0,,,
synthetic:enr:26102:000023,internal:00a8c38f553ff92ed3c2c5c149fbe8798ab47258463ee12c3b136c644d1a5f1b,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Rajasthan,TONK-SAWAI MADHOPUR,Normal/Others,NA - Construction of rooms and halls in school and colleges,1000000,2023-12-24,Unsanctioned,FUTURE,DISTRICT COLLECTOR TONK_IDA,,Uniara,Khelniya,Sukhbir Singh Jaunapuria,Lok Sabha,TONK [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR TONK_IDA,SYNTHETIC TONK Building Works Agency,,,,,,,,26.894141,74.465443,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Building site near Khelniya, Rajasthan",0,,,
synthetic:enr:26102:000024,internal:00abdc0488efa76322f8a2516c7ff8a2607087284c9c7140162aebfb6291fb8c,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Haryana,Sitting Rajya Sabha,Normal/Others,NA - Forest conservation infrastructure,150000,2023-07-17,Unsanctioned,FUTURE,DEPUTY COMMISSIONER HISSAR_IDA,,HANSI-II,Thurana(103),SHRI Devender Paul Vats,Rajya Sabha,HISSAR [SYNTHETIC],SYNTHETIC implementing unit attached to DEPUTY COMMISSIONER HISSAR_IDA,SYNTHETIC HISSAR General Works Constructions,,,,,,,,28.925287,76.060464,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Thurana(103), Haryana",0,,,
synthetic:enr:26102:000025,internal:00ace66e0e4c0ea39af4d56434e33133c7e07cb2c4fb23fd46e260700d3fc800,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",West Bengal,BISHNUPUR(SC),Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,650000,2023-11-28,Unsanctioned,FUTURE,DISTRICT MAGISTRATE BANKURA_IDA,Bishnupur,,,Saumitra khan,Lok Sabha,BANKURA [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRATE BANKURA_IDA,SYNTHETIC BANKURA General Works Agency,,,,,,,,23.180113,87.926553,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Bishnupur, West Bengal",0,,,
synthetic:enr:26102:000026,internal:00ce50e9725751b280965fe0073ef4892341fc9dc820027d62ac09c4f15fdfe9,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Assam,JORHAT,Normal/Others,WS/MP496/2023-2024/21927 - Construction of community centers and community halls,250000,2023-09-16,Unsanctioned,FUTURE,Deputy Commissioner Charaideo_IDA,,LAKUWA,Mothura Pur Jungle,Topon Kumar Gogoi,Lok Sabha,Charaideo [SYNTHETIC],SYNTHETIC implementing unit attached to Deputy Commissioner Charaideo_IDA,SYNTHETIC Charaideo Community Works Agency,,,,,,,,26.25002,93.116561,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Community Hall site near Mothura Pur Jungle, Assam",0,,,
synthetic:enr:26102:000027,internal:00d91490a8b4226e10e81a3bf7d28ebc3b88b187b0da2e1eb26ffc0cb2560ced,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Uttar Pradesh,MATHURA,Normal/Others,WS/MP819/2023-2024/113386 - Providing drains and gutters for public drainage,490000,2024-02-23,Unsanctioned,FUTURE,DISTRICT MAGISTRAE MATHURA_IDA,Mathura-Vrindavan,,,Smt Hema Malini,Lok Sabha,MATHURA [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRAE MATHURA_IDA,SYNTHETIC MATHURA General Works Constructions,,,,,,,,26.94665,80.861465,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Mathura-Vrindavan, Uttar Pradesh",0,,,
